Column1;Column2
9.023191703;-79.53150659
9.02318646;-79.53151142
9.023178141;-79.53151907
9.02317032;-79.53152626
9.023161546;-79.53153433
9.023153227;-79.53154199
9.023144864;-79.53154968
9.023136501;-79.53155737
9.023128182;-79.53156503
9.023118866;-79.5315736
9.023110547;-79.53158125
9.02310173;-79.53158936
9.023092371;-79.53159797
9.02308247;-79.53160708
9.023074649;-79.53161427
9.02306633;-79.53162193
9.02305801;-79.53162958
9.023049236;-79.53163765
9.023039964;-79.53164618
9.023031103;-79.53165433
9.023022784;-79.53166198
9.023015461;-79.53166872
9.023008225;-79.53167538
9.023000404;-79.53168257
9.02299163;-79.53169064
9.022984307;-79.53169738
9.02297445;-79.53170645
9.022966131;-79.5317141
9.02295831;-79.53172129
9.022950034;-79.53172891
9.022941715;-79.53173656
9.022933396;-79.53174421
9.022923993;-79.53175286
9.022916172;-79.53176006
9.022909889;-79.53176584
9.022902112;-79.53177299
9.022894963;-79.53177957
9.022886687;-79.53178718
9.022879451;-79.53179384
9.022875248;-79.5317977
9.022873125;-79.53179966
9.022871045;-79.53180157
9.022871045;-79.53180157
9.022870547;-79.53180203
9.022868965;-79.53180348
