Column1;Column2;Column3;Column4
9.0232802;-79.5315697;12; Region 1
9.0232813;-79.5315695;12; Region 1
9.0232822;-79.5315692;12; Region 1
9.0232822;-79.5315687;12; Region 1
9.02328;-79.5315672;12; Region 1
9.0232795;-79.5315673;12; Region 1
9.0232762;-79.5315642;11; Region 1
9.0232727;-79.5315618;11; Region 1
9.0232698;-79.5315607;11; Region 1
9.0232678;-79.5315592;10; Region 1
9.0232673;-79.5315573;10; Region 1
9.0232657;-79.5315558;10; Region 1
9.0232643;-79.5315553;10; Region 1
9.0232633;-79.5315552;10; Region 1
9.0232622;-79.5315543;9; Region 1
9.0232612;-79.5315532;9; Region 1
9.0232598;-79.5315522;9; Region 1
9.0232585;-79.5315513;9; Region 1
9.0232578;-79.53155;9; Region 1
9.0232585;-79.5315478;9; Region 1
9.0232575;-79.5315448;9; Region 1
9.0232555;-79.531544;8; Region 1
9.023255;-79.531543;8; Region 1
9.0232532;-79.5315428;8; Region 1
9.0232535;-79.531541;8; Region 1
9.0232522;-79.53154;8; Region 1
9.0232512;-79.5315378;8; Region 1
9.023247;-79.5315373;7; Region 1
9.023245;-79.5315367;7; Region 1
9.0232438;-79.5315338;7; Region 1
9.0232425;-79.531531;7; Region 1
9.023241;-79.5315303;6; Region 1
9.0232388;-79.5315292;6; Region 1
9.0232382;-79.5315285;6; Region 1
9.0232367;-79.531528;6; Region 1
9.0232352;-79.5315275;6; Region 1
9.0232328;-79.5315282;5; Region 1
9.02323;-79.5315287;5; Region 1
9.0232277;-79.5315283;5; Region 1
9.0232238;-79.5315213;4; Region 1
9.0232213;-79.5315183;4; Region 1
9.0232203;-79.5315175;4; Region 1
9.023219;-79.5315165;4; Region 1
9.0232177;-79.5315158;4; Region 1
9.0232163;-79.5315152;4; Region 1
9.0232148;-79.531514;3; Region 1
9.0232132;-79.5315142;3; Region 1
9.0232128;-79.5315133;3; Region 1
9.0232115;-79.5315128;3; Region 1
9.023209;-79.5315137;3; Region 1
9.023207;-79.5315137;2; Region 1
9.0234135;-79.5316817;31; Region 1
9.023413;-79.531682;31; Region 1
9.0234123;-79.5316807;31; Region 1
9.0234085;-79.5316793;30; Region 1
9.0234035;-79.5316783;30; Region 1
9.023402;-79.5316768;30; Region 1
9.0234025;-79.5316745;30; Region 1
9.0234015;-79.5316722;29; Region 1
9.023399;-79.53167;29; Region 1
9.0233982;-79.5316697;29; Region 1
9.0233978;-79.5316695;29; Region 1
9.0233967;-79.531667;29; Region 1
9.0233955;-79.5316663;28; Region 1
9.0233943;-79.5316648;28; Region 1
9.0233933;-79.5316625;28; Region 1
9.0233922;-79.5316612;28; Region 1
9.0233907;-79.5316598;28; Region 1
9.0233895;-79.531659;27; Region 1
9.0233873;-79.5316602;27; Region 1
9.0233858;-79.5316595;27; Region 1
9.0233843;-79.5316593;27; Region 1
9.0233835;-79.5316585;27; Region 1
9.0233818;-79.5316583;27; Region 1
9.0233807;-79.5316567;27; Region 1
9.0233802;-79.5316555;26; Region 1
9.0233793;-79.5316545;26; Region 1
9.0233792;-79.5316542;26; Region 1
9.0233778;-79.5316527;26; Region 1
9.0233748;-79.531651;26; Region 1
9.0233737;-79.53165;25; Region 1
9.0233738;-79.5316477;25; Region 1
9.0233722;-79.5316472;25; Region 1
9.0233708;-79.5316455;25; Region 1
9.0233678;-79.531644;25; Region 1
9.0233647;-79.531643;24; Region 1
9.0233638;-79.5316412;24; Region 1
9.0233632;-79.5316405;24; Region 1
9.0233603;-79.5316402;24; Region 1
9.0233587;-79.5316387;23; Region 1
9.0233582;-79.531637;23; Region 1
9.023357;-79.5316358;23; Region 1
9.023355;-79.5316352;23; Region 1
9.0233527;-79.5316347;23; Region 1
9.0233512;-79.5316333;22; Region 1
9.0233495;-79.531632;22; Region 1
9.0233488;-79.5316318;22; Region 1
9.0233495;-79.5316323;22; Region 1
9.0233483;-79.5316305;22; Region 1
9.0233493;-79.5316323;22; Region 1
9.0233482;-79.531631;22; Region 1
9.023347;-79.53163;22; Region 1
9.0233453;-79.5316303;22; Region 1
9.0233443;-79.531629;21; Region 1
9.0233427;-79.5316267;21; Region 1
9.0233393;-79.5316237;21; Region 1
9.0233377;-79.5316223;20; Region 1
9.0233347;-79.5316195;20; Region 1
9.0233347;-79.5316205;20; Region 1
9.0233335;-79.531619;20; Region 1
9.0233332;-79.5316165;20; Region 1
9.0233322;-79.5316155;20; Region 1
9.0233313;-79.5316168;20; Region 1
9.0233305;-79.531615;19; Region 1
9.0233292;-79.5316135;19; Region 1
9.0233277;-79.5316117;19; Region 1
9.023326;-79.5316105;19; Region 1
9.0233247;-79.531609;18; Region 1
9.0233237;-79.5316077;18; Region 1
9.0233232;-79.5316075;18; Region 1
9.0233222;-79.5316067;18; Region 1
9.023322;-79.5316053;18; Region 1
9.0233202;-79.5316038;18; Region 1
9.0233183;-79.5316017;17; Region 1
9.0233145;-79.5316;17; Region 1
9.0233122;-79.5315983;17; Region 1
9.0233093;-79.5315975;16; Region 1
9.023308;-79.5315963;16; Region 1
9.0233073;-79.5315967;16; Region 1
9.0233062;-79.5315973;16; Region 1
9.0233058;-79.5315965;16; Region 1
9.0233063;-79.5315948;16; Region 1
9.0233075;-79.5315925;16; Region 1
9.023307;-79.531591;16; Region 1
9.0233058;-79.5315892;16; Region 1
9.0233045;-79.5315877;15; Region 1
9.0233048;-79.5315858;15; Region 1
9.0233065;-79.5315858;15; Region 1
9.0233053;-79.5315837;15; Region 1
9.0233053;-79.5315817;15; Region 1
9.0233038;-79.5315792;15; Region 1
9.0233037;-79.5315792;15; Region 1
9.0233005;-79.5315797;15; Region 1
9.0232985;-79.5315767;14; Region 1
9.023297;-79.5315755;14; Region 1
9.0232968;-79.5315735;14; Region 1
9.0232963;-79.5315712;14; Region 1
9.0232952;-79.53157;14; Region 1
9.0232943;-79.531569;13; Region 1
9.0232935;-79.531567;13; Region 1
9.0232922;-79.531566;13; Region 1
9.0232905;-79.5315653;13; Region 1
9.0232893;-79.5315623;13; Region 1
9.0232893;-79.5315603;13; Region 1
9.0232878;-79.5315595;12; Region 1
9.0232862;-79.531558;12; Region 1
9.0232853;-79.5315573;12; Region 1
9.0232852;-79.5315565;12; Region 1
9.0232843;-79.5315558;12; Region 1
9.0232838;-79.5315553;12; Region 1
9.0232823;-79.531555;12; Region 1
9.0232807;-79.5315548;11; Region 1
9.0232795;-79.5315545;11; Region 1
9.0232793;-79.5315537;11; Region 1
9.0232778;-79.5315523;11; Region 1
9.0232765;-79.531552;11; Region 1
9.0232757;-79.5315513;11; Region 1
9.0232747;-79.5315508;11; Region 1
9.0232745;-79.5315493;11; Region 1
9.0232737;-79.5315473;10; Region 1
9.0232723;-79.5315452;10; Region 1
9.023271;-79.5315445;10; Region 1
9.0232705;-79.5315423;10; Region 1
9.0232698;-79.5315408;10; Region 1
9.0232683;-79.5315413;10; Region 1
9.023265;-79.5315422;9; Region 1
9.0232638;-79.5315417;9; Region 1
9.0232613;-79.5315398;9; Region 1
9.0232592;-79.5315382;9; Region 1
9.0232587;-79.5315367;8; Region 1
9.0232572;-79.5315355;8; Region 1
9.0232552;-79.5315345;8; Region 1
9.0232537;-79.5315328;8; Region 1
9.0232537;-79.5315325;8; Region 1
9.0232525;-79.5315323;8; Region 1
9.0232508;-79.5315312;7; Region 1
9.023249;-79.531529;7; Region 1
9.023247;-79.5315292;7; Region 1
9.0232452;-79.5315283;7; Region 1
9.0232435;-79.5315275;7; Region 1
9.0232422;-79.5315257;6; Region 1
9.0232378;-79.5315265;6; Region 1
9.0232327;-79.5315283;5; Region 1
9.0232277;-79.53153;5; Region 1
9.023226;-79.5315302;5; Region 1
9.0232222;-79.5315322;4; Region 1
9.0232212;-79.5315313;4; Region 1
9.02322;-79.5315307;4; Region 1
9.0232187;-79.5315307;4; Region 1
9.0232177;-79.5315302;4; Region 1
9.0232158;-79.5315315;4; Region 1
9.023213;-79.5315298;3; Region 1
9.0232113;-79.5315278;3; Region 1
9.0232088;-79.5315273;3; Region 1
9.0232073;-79.5315265;3; Region 1
9.0232043;-79.5315253;2; Region 1
