Column1;Column2
9.023425322;-79.53170356
9.023424846;-79.53170321
9.023425322;-79.53170356
9.023425322;-79.53170356
9.023424846;-79.53170321
9.023422412;-79.53170144
9.023418849;-79.53169884
9.023414158;-79.53169541
9.023408161;-79.53169104
9.023401865;-79.53168644
9.023394616;-79.53168116
9.023387667;-79.53167609
9.023380066;-79.53167054
9.02337264;-79.53166512
9.023365868;-79.53166018
9.023360048;-79.53165593
9.023354051;-79.53165156
9.023347102;-79.53164649
9.023341106;-79.53164211
9.023333504;-79.53163657
9.023327031;-79.53163185
9.023319906;-79.53162665
9.023312781;-79.53162145
9.023306484;-79.53161685
9.023300188;-79.53161226
9.023293715;-79.53160754
9.023286114;-79.53160199
9.023278512;-79.53159645
9.023273344;-79.53159267
9.023266096;-79.53158739
9.023259323;-79.53158245
9.02325077;-79.5315762
9.023242216;-79.53156996
9.023233838;-79.53156385
9.023225461;-79.53155774
9.023215302;-79.53155033
9.02320853;-79.53154539
9.023202057;-79.53154066
