Column1;Column2
9.023187305;-79.53151064
9.023187305;-79.53151064
9.023187305;-79.53151064
9.023187349;-79.5315106
9.023183146;-79.53151446
9.023173245;-79.53152357
9.023162803;-79.53153318
9.023153313;-79.53154191
9.023142871;-79.53155151
9.023134465;-79.53155925
9.023124023;-79.53156885
9.023115162;-79.531577
9.023104763;-79.53158657
9.023094949;-79.5315956
9.023084095;-79.53160558
9.023073739;-79.53161511
9.023062798;-79.53162517
9.023053353;-79.53163386
9.023043408;-79.53164301
9.023032966;-79.53165262
9.02302352;-79.53166131
9.023013663;-79.53167037
9.023003805;-79.53167944
9.022994988;-79.53168755
9.022985131;-79.53169662
9.022973822;-79.53170702
9.022963553;-79.53171647
9.022953197;-79.531726
9.022942798;-79.53173556
9.022932399;-79.53174513
9.022922498;-79.53175424
9.022913139;-79.53176285
9.022903238;-79.53177196
9.022893381;-79.53178102
9.022884607;-79.5317891
9.022877956;-79.53179521
9.022872302;-79.53180041
9.022871305;-79.53180133
9.022870763;-79.53180183
9.022869724;-79.53180279
9.022869225;-79.53180324
9.022867687;-79.53180466
9.022866106;-79.53180611
