Column1;Column2
9.023417297;-79.5316977
9.023417297;-79.5316977
9.023417297;-79.5316977
9.023413911;-79.53169523
9.023406186;-79.5316896
9.02339668;-79.53168266
9.023387474;-79.53167594
9.023377438;-79.53166862
9.023367403;-79.5316613
9.023357367;-79.53165398
9.023346856;-79.53164631
9.023337649;-79.53163959
9.023327967;-79.53163253
9.023316203;-79.53162395
9.023305568;-79.53161619
9.023293805;-79.5316076
9.023283946;-79.53160041
9.023273434;-79.53159274
9.023263399;-79.53158542
9.023251758;-79.53157693
9.023240294;-79.53156856
9.023228178;-79.53155972
9.023217367;-79.53155183
9.023205603;-79.53154325
9.023195444;-79.53153584
9.023184157;-79.5315276
9.023174651;-79.53152067
9.023165268;-79.53151382
9.023160224;-79.53151014
9.023158918;-79.53150919
