Column1;Column2
9.023422006;-79.53170114
9.023422006;-79.53170114
9.023422182;-79.53170127
9.023418972;-79.53169893
9.023412852;-79.53169446
9.02340638;-79.53168974
9.023398125;-79.53168372
9.0233907;-79.5316783
9.023383452;-79.53167301
9.023377155;-79.53166842
9.023371335;-79.53166417
9.023365039;-79.53165958
9.02335779;-79.53165429
9.02335167;-79.53164982
9.02334585;-79.53164558
9.023338901;-79.53164051
9.023332429;-79.53163578
9.023324827;-79.53163024
9.023318531;-79.53162564
9.023310277;-79.53161962
9.023303328;-79.53161455
9.023296555;-79.53160961
9.02328913;-79.53160419
9.023281882;-79.5315989
9.023274456;-79.53159349
9.023267508;-79.53158842
9.023257172;-79.53158088
9.023249747;-79.53157546
9.023242975;-79.53157052
9.023237331;-79.5315664
9.02322943;-79.53156063
9.023222005;-79.53155522
9.023213927;-79.53154932
9.023206502;-79.53154391
9.023199253;-79.53153862
9.023193433;-79.53153437
9.023188742;-79.53153095
9.023183574;-79.53152718
9.023180841;-79.53152518
9.023179888;-79.53152449
9.023178936;-79.53152379
9.023177931;-79.53152306
